Course,University,Location,Subject,Link
Master of Science in Water Science,University of Duisburg-Essen,Essen,Chemistry,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3897/
Master of Science in Wood Technology,Rosenheim Technical University of Applied Sciences,Rosenheim,"Forestry, Wood Economics",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5281/
Master of Science in Aerospace Engineering (MSc),FH Aachen University of Applied Sciences,Aachen,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3854/
Master of Science in International Automotive Engineering,FH Aachen University of Applied Sciences,Aachen,"Transport Engineering, Nautical Science",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3823/
Master of Science in Nuclear Applications (MNA),FH Aachen University of Applied Sciences,Jülich,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3810/
Information Technology,OWL University of Applied Sciences and Arts,Lemgo,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3632/
Master's in Industrial Informatics,University of Applied Sciences Emden/Leer,Emden,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4775/
MSc Advanced (Systems) Engineering & Engineering Management,South Westphalia University of Applied Sciences,Soest,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4062/
Automation & IT (Master of Engineering),Technische Hochschule Köln (University of Applied Sciences),Köln,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3961/
Master of Science in Materials Science and Engineering,Kiel University,Kiel,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6086/
Master of Science in Polymer Materials Science,Martin Luther University Halle-Wittenberg,Halle (Saale),"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3605/
MSc Advanced Materials and Processes (MAP),FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3762/
Renewable Energy Management (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4520/
Electrical Engineering and Information Technology — International Master of Science,Darmstadt University of Applied Sciences,Darmstadt,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3980/
Integrated Water Resources Management (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4523/
Natural Resources Management and Development (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,"Land Management, Environmental Architecture",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4189/
Master's Mathematics in Science and Engineering,Technical University of Munich,Garching b. München,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3964/
Master of Science in Aerospace Engineering,Technical University of Darmstadt,Darmstadt,"Transport Engineering, Nautical Science",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7775/
